# dETL = 58.7 nm,dETL = 61.6 nm,dETL = 60.2 nm,dETL = 56.9 nm,dETL = 63 nm,dETL = 70.3 nm
9.861660601078420275e+19,9.618750242499628237e+19,9.716313056725324595e+19,9.946039402887795507e+19,9.370000133108383744e+19,7.880202852590324941e+19
9.889461775689026765e+19,9.651375352808164557e+19,9.747355768564557414e+19,9.970546217514817946e+19,9.405669067909721293e+19,7.924077377950452941e+19
9.917160402369978368e+19,9.683917438514333286e+19,9.778308350754150810e+19,9.994940345936091546e+19,9.441271039048564736e+19,7.967960344257539277e+19
9.944755686551129293e+19,9.716375566172918579e+19,9.809169915424776192e+19,1.001922108832796344e+20,9.476805025341649715e+19,8.011850492857856819e+19
9.972246836625293312e+19,9.748748804745969664e+19,9.839939577316764877e+19,1.004338774811763999e+20,9.512270007555126067e+19,8.055746564892347597e+19
9.999633063970950349e+19,9.781036225629562470e+19,9.870616453805490176e+19,1.006743963200317358e+20,9.547664968433799987e+19,8.099647301332749517e+19
1.002691358297485640e+20,9.813236902680385946e+19,9.901199664926690509e+19,1.009137604997332992e+20,9.582988892730279526e+19,8.143551443017664102e+19
1.005408761105456824e+20,9.845349912242302157e+19,9.931688333401686016e+19,1.011519631532737167e+20,9.618240767234095514e+19,8.187457730688665190e+19
1.008115436868085514e+20,9.877374333172816282e+19,9.962081584662518170e+19,1.013889974469473894e+20,9.653419580800717619e+19,8.231364905026376499e+19
1.010811307940007444e+20,9.909309246869482701e+19,9.992378546877023846e+19,1.016248565805464945e+20,9.688524324380585165e+19,8.275271706686613094e+19
1.013496296985641779e+20,9.941153737296263578e+19,1.002257835097383404e+20,1.018595337875559055e+20,9.723553991047980646e+19,8.319176876336445850e+19
1.016170326981407539e+20,9.972906891009749811e+19,1.005268013066729882e+20,1.020930223353469501e+20,9.758507576029940941e+19,8.363079154690311782e+19
1.018833321217931837e+20,1.000456779718537216e+20,1.008268302248228291e+20,1.023253155253707735e+20,9.793384076735032525e+19,8.406977282546129306e+19
1.021485203302250742e+20,1.003613554764351078e+20,1.011258616577896448e+20,1.025564066933500805e+20,9.828182492782110310e+19,8.450870000821372518e+19
1.024125897159996211e+20,1.006760923687552123e+20,1.014238870277747999e+20,1.027862892094703534e+20,9.862901826028989645e+19,8.494756050589191373e+19
1.026755327037579264e+20,1.009898796206970307e+20,1.017208977858251489e+20,1.030149564785698898e+20,9.897541080601051136e+19,8.538634173114477773e+19
1.029373417504360366e+20,1.013027082313716040e+20,1.020168854120782561e+20,1.032424019403285791e+20,9.932099262919799603e+19,8.582503109889959526e+19
1.031980093454813102e+20,1.016145692273762796e+20,1.023118414160065167e+20,1.034686190694565151e+20,9.966575381731354214e+19,8.626361602672286106e+19
1.034575280110674903e+20,1.019254536630518743e+20,1.026057573366604268e+20,1.036936013758805606e+20,1.000096844813484032e+20,8.670208393518081638e+19
1.037158903023093023e+20,1.022353526207390843e+20,1.028986247429115904e+20,1.039173424049305846e+20,1.003527747561075507e+20,8.714042224820012646e+19
1.039730888074758881e+20,1.025442572110341571e+20,1.031904352336939745e+20,1.041398357375246500e+20,1.006950148004926423e+20,8.757861839342863974e+19
1.042291161482029957e+20,1.028521585730437448e+20,1.034811804382447534e+20,1.043610749903527117e+20,1.010363947977837445e+20,8.801665980259531162e+19
1.044839649797047583e+20,1.031590478746387579e+20,1.037708520163445473e+20,1.045810538160598221e+20,1.013769049559210394e+20,8.845453391187094733e+19
1.047376279909842452e+20,1.034649163127078748e+20,1.040594416585563013e+20,1.047997659034281738e+20,1.017165355077854822e+20,8.889222816222815846e+19
1.049900979050429153e+20,1.037697551134096261e+20,1.043469410864637215e+20,1.050172049775577170e+20,1.020552767114787717e+20,8.932972999980146688e+19
1.052413674790892012e+20,1.040735555324239708e+20,1.046333420529081549e+20,1.052333648000462520e+20,1.023931188506024837e+20,8.976702687624701542e+19
1.054914295047463895e+20,1.043763088552031027e+20,1.049186363422255350e+20,1.054482391691683267e+20,1.027300522345369600e+20,9.020410624910262272e+19
1.057402768082589614e+20,1.046780063972211098e+20,1.052028157704815084e+20,1.056618219200528548e+20,1.030660671987187384e+20,9.064095558214698598e+19
1.059879022506984407e+20,1.049786395042229453e+20,1.054858721857062011e+20,1.058741069248599818e+20,1.034011541049177866e+20,9.107756234575930982e+19
1.062342987281679483e+20,1.052781995524726948e+20,1.057677974681280020e+20,1.060850880929565901e+20,1.037353033415138673e+20,9.151391401727834522e+19
1.064794591720058880e+20,1.055766779490005320e+20,1.060485835304060355e+20,1.062947593710910669e+20,1.040685053237718712e+20,9.194999808136147763e+19
1.067233765489886003e+20,1.058740661318492979e+20,1.063282223178623386e+20,1.065031147435667128e+20,1.044007504941167247e+20,9.238580203034338918e+19
1.069660438615319675e+20,1.061703555703197696e+20,1.066067058087126303e+20,1.067101482324143473e+20,1.047320293224075100e+20,9.282131336459476992e+19
1.072074541478919209e+20,1.064655377652153713e+20,1.068840260142962442e+20,1.069158538975634883e+20,1.050623323062102098e+20,9.325651959288052122e+19
1.074476004823642767e+20,1.067596042490856243e+20,1.071601749793050132e+20,1.071202258370126971e+20,1.053916499710705992e+20,9.369140823271784448e+19
